col_oslnp,col_29p4d,col_4bzl7,col_g4elm,col_0l637,col_3zius,col_k7ayf,col_eph8l,col_9t29s,col_4gmox,col_l4kuj,col_lyhls,col_ky2iy,col_gkyng,col_q01lh,col_fe2jd,col_b0oll,col_dwe97,col_q9rrk,col_mkc8l,col_sxciu,col_ahvgp,col_2me64,col_eo0va,col_6v7c9,col_md150,col_grbeg,col_jleb4,col_hc7wj,col_eun3m,col_m74pu,col_ghi4z,col_y88mx,col_wv5nq,col_ur3w6,col_dyf88,col_i6wfm,col_riwps,col_rj5ld,col_be67j,col_0jjaa,target
46.0,19.0,13.4,20.85,20.41,1083.0,5.525510204081633,4.27,1.04591836734694,5.0,6.0,1.0,1.89,317.0,205.0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0.0,0,0.0,0,0,1.0,0,1,0,0
39.0,83.0,15.0,5.8,1.74,534.0,1.88028169,1.48,1.02040816326531,3.0,3.0,3.0,1.89,317.0,200.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0.0,1,0.0,1,0,1.0,0,0,0,0
28.0,15.0,15.0,20.16,30.95,1193.0,2.2216014897579144,3.7,0.80260707635009,2.5,3.0,2.0,40.0,607.0,431.0,0,0,0,0,0,1,0,0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,1.0,1,1.0,0,0,1.0,0,1,0,0
41.0,11.0,12.0,16.1,17.7,1600.0,7.6555023923445,0.16,1.24880382,1.0,4.0,3.0,1.89,317.0,261.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,1,0.125,0,0,1.0,0,1,0,0
36.0,2.0,30.0,4.16,6.05,627.6,2.60414937,1.3,0.62655601659751,1.0,2.0,2.0,4.63,213.0,151.0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,1.0,0,0.125,0,0,0.0,0,1,0,0
39.0,12.0,32.0,27.0,35.4,1600.0,6.63900414,0.71,1.0,1.0,2.0,1.0,0.54,196.0,241.0,0,0,0,0,0,1,0,0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,1,0,0
48.0,40.0,32.0,1.2,2.4,365.0,1.4484127,0.78,0.77016129,1.0,2.0,1.0,0.73,311.0,148.0,0,0,0,0,0,1,0,0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1.0,0,0.0,0,0,0.0,0,1,0,0
39.0,15.0,9.0,5.8,9.8,664.0,2.32262569832402,0.4,0.81632653,1.0,1.0,1.0,1.89,317.0,160.0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,1,0.0,0,0,0.0,0,0,0,0
45.0,48.0,12.0,5.8,19.6,765.0,3.0357142857142856,1.33,1.9190140845070425,1.0,1.0,1.0,10.4,548.0,545.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0.0,1,0.0,0,0,1.0,0,1,0,0
33.0,31.0,16.0,5.8,9.8,664.0,2.32262569832402,0.062,1.2402234636871508,1.0,1.0,1.0,1.89,317.0,444.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,1,0.125,0,0,1.0,0,1,0,0
33.0,29.0,16.0,5.8,4.36,405.0,2.32262569832402,1.22,0.779329608938548,1.0,1.0,1.0,1.9,370.0,183.0,0,0,0,0,0,1,0,0,0.0,0.3917710196779964,0.2432915921288014,0.2415026833631484,0.1234347048300536,0,0,0,1,0.0,1,1.0,0,0,0.5853242320819113,0,1,0,0
34.0,72.0,35.0,3.8,3.3,740.0,2.06703910614525,7.6,1.31564245810056,0.7,5.0,3.0,1.89,317.0,327.0,0,0,0,1,0,1,0,0,1.0,0.0,0.0,1.0,0.0,0,0,0,1,1.0,0,0.0,0,0,0.0,1,1,0,0
23.0,5.0,36.0,5.8,9.8,664.0,2.32262569832402,9.9,2.005586592178771,0.7,7.5,2.0,49.0,1029.0,718.0,0,0,0,1,0,0,0,0,0.4623430962343096,0.0,0.0,1.0,0.0,0,0,1,1,1.0,1,0.0,0,0,1.0,0,0,0,0
26.0,136.0,38.0,5.8,5.0,782.0,2.18435754189944,1.25,0.92946058091286,0.6,11.0,1.0,24.6,440.8,224.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,1.0,1,0.0,0,0,1.0,0,1,0,0
23.0,27.0,30.0,5.8,13.8,842.0,2.35195530726257,1.22,0.958100558659218,0.5,10.0,11.0,1.89,317.0,343.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1.0,0,0.0,0,1,1.0,1,0,0,0
61.0,50.0,29.0,14.5,18.7,458.0,0.491266375545852,1.6,0.96,0.5,3.5,0.0,1.89,317.0,216.0,0,0,0,1,0,1,1,0,1.0,0.0,0.0,0.0,1.0,0,0,0,1,1.0,1,0.125,0,0,0.0,0,0,0,0
31.0,84.0,10.0,6.29,4.74,717.0,2.00279329608939,3.3,2.98603351955307,0.4,8.0,17.5,2.8,813.0,1069.0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,1.0,0.0,0,0,1,1,0.0,1,0.0,0,0,1.0,0,0,0,0
23.0,66.0,34.0,5.8,26.0,566.0,1.58100558659218,3.24,0.770949720670391,0.4,2.5,11.0,1.89,317.0,276.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0,0.125,0,0,1.0,1,0,0,0
24.0,20.0,32.0,5.8,9.8,664.0,2.32262569832402,41.0,2.12569832402235,0.4,1.5,1.0,1.89,317.0,761.0,0,0,0,1,0,1,0,0,0.4623430962343096,0.0,0.0,1.0,0.0,0,0,0,1,0.0,0,0.0,0,1,1.0,1,0,0,0
44.0,112.0,17.0,2.0,2.1,347.0,1.416326530612245,1.11,0.479838709677419,0.3,3.5,4.5,1.8,320.0,119.0,0,0,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,1,0.0,0,0,0.0,0,1,0,0
42.0,138.0,26.0,5.0,10.0,741.0,2.609154929577465,0.23,1.11111111111111,0.3,3.5,3.5,1.89,317.0,280.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,1,0,1.0,1,1,0,0
35.0,128.0,14.0,6.5,7.4,997.8,2.78715083798883,0.18,1.12755102040816,0.3,2.5,3.5,14.7,655.0,221.0,0,0,0,0,0,1,0,0,1.0,1.0,0.0,0.0,0.0,0,0,1,1,0.0,1,0.0,0,0,1.0,1,1,0,0
55.0,115.0,12.0,5.8,20.8,664.0,2.32262569832402,0.39,0.374331550802139,0.3,2.5,3.5,0.9,320.0,70.0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0
30.0,204.0,15.0,5.8,50.0,664.0,2.32262569832402,28.1,1.57821229050279,0.3,5.0,3.0,0.8,124.0,565.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1.0,0,0.0,0,1,1.0,0,0,0,0
41.0,103.0,16.0,6.3,5.6,959.0,2.67877094972067,5.6,2.67877094972067,0.3,3.5,3.0,1.89,317.0,959.0,0,0,0,0,0,1,0,0,0.4623430962343096,0.0,0.0,1.0,0.0,0,0,0,1,0.0,1,0.0,0,0,1.0,0,0,0,0
32.0,117.0,25.0,14.6,19.9,1055.0,2.946927374301676,18.9,1.8463687150838,0.3,3.0,3.0,1.89,317.0,661.0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,0,0.0,1,0,1.0,1,1,0,0
47.0,113.0,12.0,5.8,38.0,568.0,2.25396825396825,1.46,0.43,0.3,3.0,3.0,1.89,317.0,86.0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,1,0.125,0,0,1.0,0,1,0,0
55.0,138.0,28.0,1.5,16.0,530.0,2.1031746031746,1.8,0.71689497716895,0.3,5.0,2.5,5.5,600.0,157.0,0,1,0,1,0,0,1,0,1.0,1.0,0.0,0.0,0.0,0,1,1,1,0.0,1,0.0,0,1,0.0,0,0,0,0
19.0,126.0,25.0,5.8,5.23,774.0,1.6,1.27,0.544692737430168,0.3,2.5,2.5,2.02,181.0,191.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1.0,1,0.0,0,0,1.0,0,0,0,0
